poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,inicio,termino,conclusao,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
7-FAL-172-ES,34270029590,Petrobras,7FAL172ES,ES,Espírito Santo,,FAL  ,FAZENDA ALEGRE,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,07/05/2020,13/05/2020,16/02/2021,"-19:00:26,633","-39:51:48,401","-19,0073980555","-39,8634447222",SIRGAS2000,Definitiva,Vertical,"-884,87",896,"896,2",MR,"10,88","5,73",0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-BE-35DA-RN,72100029729,Potiguar E&P S.A.,BEDW11DA,RN,Potiguar,,BE   ,BOA ESPERANÇA,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,13/09/2021,16/09/2021,02/11/2021,"-05:29:01,270","-37:37:47,190","-5,4836861111","-37,629775",SIRGAS2000,Definitiva,Direcional,"976,37",1108,"1107,7",MR,"92,18",87,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-RO-177D-RJS,74281029701,Petrobras,7-RO-177D-RJS,RJ,Campos,,RO   ,RONCADOR,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,11/06/2021,13/06/2021,16/06/2021,"-21:56:32,171","-39:42:22,377","-21,9422697222","-39,7062158333",SIRGAS2000,Definitiva,Direcional,"2879,5",2882,2882,MR,32,0,1869.0,NM,,Campos,Carapebus,,,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-29,CAROLINA,N,01/01/2023
1-ENV-19-MA,50090029702,Eneva,1-ENV-BL134A-MA,MA,Parnaíba,PN-T-134,,,T,S,1,Pioneiro,,ARRASADO,18/06/2021,10/07/2021,13/07/2021,"-06:55:26,467","-44:29:18,721","-6,9240186111","-44,4885336111",SIRGAS2000,Definitiva,Vertical,"1225,9",1500,"1500,9",MR,275,269,,NM,,Canindé,Itaim,,Existe,,Existe,Existe,Existe,,,Existe,,,,,Existe,Existe,,,,,GREAT120 (TUS 120),GREAT - 120,I,01/01/2023
7-TUP-121DA-RJS,74316029700,Petrobras,7-TUP-121DA-RJS,RJ,Santos,,TUP  ,TUPI,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,07/06/2021,13/08/2021,10/09/2021,"-25:09:32,654","-42:55:32,559","-25,1590705555","-42,9257108333",SIRGAS2000,Definitiva,Direcional,"5077,8",5117,5117,MR,25,0,2248.0,NM,,Guaratiba,Barra Velha,,Existe,,,,,Existe,,Existe,,,,,Existe,Existe,,,,,NS-43,AMARALINA STAR,S,01/01/2023
1-PHO-1-RN,72100029704,Phoenix Óleo & Gás,PHOENIX 01,RN,Potiguar,POT-T-565,,,T,S,1,Pioneiro,,FECHADO,19/08/2021,19/07/2021,30/08/2021,"-05:20:00,009","-37:10:04,784","-5,3333358333","-37,1679955555",SIRGAS2000,Definitiva,Vertical,"1094,4",1180,"1181,2",MR,"85,55","81,35",0.0,NM,,Areia Branca,Pendência,Sequência 3,Existe,,Existe,Existe,Existe,,,Existe,,,,,,Existe,,,,,"PRN-01, SHRP-05","PROEN-01, Sonda Roto-Pneumática de Perfuração SHRP-05",I,01/01/2023
7-RO-177DA-RJS,74281029705,Petrobras,7-RO-177DA-RJS,RJ,Campos,,RO   ,RONCADOR,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,16/06/2021,28/08/2021,06/09/2021,"-21:56:32,171","-39:42:22,377","-21,9422697222","-39,7062158333",SIRGAS2000,Definitiva,Direcional,"3189,3",3253,3253,MR,32,0,1868.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-29,CAROLINA,N,01/01/2023
3-ENV-20-MA,50090029714,Eneva,3-ENV-NWENV11D-MA,MA,Parnaíba,PN-T-48,,,T,S,3,Extensão,,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,03/08/2021,13/08/2021,20/08/2021,"-04:09:09,040","-45:26:15,290","-4,1525111111","-45,4375805555",SIRGAS2000,Definitiva,Vertical,2276,2358,2358,MR,82,76,,NM,,Canindé,Itaim,,Existe,,Existe,Existe,Existe,,,Existe,,Existe,,,Existe,Existe,,,,,GREAT120 (TUS 120),GREAT - 120,I,01/01/2023
8-BUZ-53D-RJS,74316029707,Petrobras,8-BUZ-53D-RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,INJETANDO,04/07/2021,03/09/2021,11/10/2021,"-24:46:05,705","-42:27:43,911","-24,7682513888","-42,4621975",SIRGAS2000,Definitiva,Direcional,"-6197,2",6406,6406,MR,32,0,2035.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,"NS-31, NS-33","NORBE IX, PETROBRAS 10000",S,01/01/2023
7-SAB-3-RN,72100029712,Potiguar E&P S.A.,7SAB0003RN,RN,Potiguar,SAB,SAB  ,SABIÁ,T,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,27/07/2021,30/07/2021,01/08/2021,"-05:29:12,580","-37:08:04,620","-5,4868277777","-37,1346166666",SIRGAS2000,Definitiva,Vertical,"483,8",615,615,MR,"131,18",126,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
