bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
POTIGUAR,72100021075.0,1-PTX-1-RN,ÁGUA,"335,8","335,8",1.0,Garrafa Plástica,"2,00",2004-10-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021075.0,1-PTX-1-RN,ÓLEO,"289,5","296,5",1.0,Garrafa Plástica,"2,00",2004-10-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021081.0,1-PTX-2-RN,ÁGUA ,311,311,1.0,Garrafa Plástica,"2,00",2004-10-13,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021081.0,1-PTX-2-RN,ÁGUA ,325,325,1.0,Garrafa Plástica,"2,00",2004-10-13,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÓLEO,"278,50","286,00",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÓLEO,"278,50","296,00",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÓLEO,"324,50","327,50",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÁGUA ,"292,00","296,00",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÁGUA,"295,50","295,50",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÁGUA ,"329,00","332,50",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021487.0,1-PTX-3-RN,ÁGUA ,"313,00","318,50",1.0,Garrafa Plástica,"2,00",2005-10-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021501.0,1-PTX-4-RN,ÁGUA ,"307,70","307,70",1.0,Garrafa Plástica,"2,00",2005-10-03,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021501.0,1-PTX-4-RN,ÁGUA ,"332,00","332,00",1.0,Garrafa Plástica,"1,00",2005-10-03,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021936.0,1-PTX-5-RN,ÁGUA,"361,00","363,00",1.0,Garrafa Plástica,"2,00",2006-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021936.0,1-PTX-5-RN,ÓLEO,"338,00","343,00",1.0,Garrafa Plástica,"1,50",2006-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021952.0,1-PTX-6-RN,ÁGUA,"355,64","355,64",1.0,Garrafa Plástica,"2,00",2006-08-27,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021964.0,1-PTX-7-RN,ÓLEO,315,319,1.0,Garrafa Plástica,"2,00",2006-09-20,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021964.0,1-PTX-7-RN,ÓLEO,337,342,1.0,Garrafa Plástica,"2,00",2006-09-20,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021964.0,1-PTX-7-RN,ÁGUA,362,364,1.0,Garrafa Plástica,"2,00",2006-09-20,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021981.0,1-PTX-8-RN,ÓLEO,311,"314,5",1.0,Garrafa Plástica,"2,00",2006-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100021981.0,1-PTX-8-RN,ÁGUA,299,300,1.0,Garrafa Plástica,"2,00",2006-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022264.0,3-PTX-9-RN,ÓLEO,"314,00","318,00",1.0,Garrafa Plástica,"2,00",2007-04-14,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022264.0,3-PTX-9-RN,ÁGUA,"347,00","350,00",1.0,Garrafa Plástica,"2,00",2007-04-14,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022284.0,1-PTX-10-RN,ÁGUA,"323,1","323,1",1.0,Garrafa Plástica,"2,00",2007-04-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÁGUA ,"441,00","442,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÁGUA ,"444,50","447,00",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÓLEO,"473,50","477,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÓLEO,"474,00","474,00",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÁGUA,"408,50","408,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÁGUA,"412,50","412,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÓLEO,"480,50","480,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÓLEO,"473,50","482,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÁGUA,"476,00","477,50",1.0,Garrafa Plástica,"2,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022609.0,1-PTX-11-RN,ÓLEO,"478,50","482,50",1.0,Garrafa Plástica,"1,00",2007-10-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022615.0,1-PTX-12-RN,ÁGUA ,"338,20","338,20",1.0,Garrafa Plástica,"1,00",2007-10-25,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022615.0,1-PTX-12-RN,ÁGUA ,"340,00","340,00",1.0,Garrafa Plástica,"1,00",2007-10-25,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022627.0,1-PTX-13-RN,ÓLEO,"352,50","354,50",1.0,Garrafa Plástica,"0,50",2007-11-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022627.0,1-PTX-13-RN,ÁGUA ,"367,00","367,00",1.0,Garrafa Plástica,"2,00",2007-11-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022627.0,1-PTX-13-RN,ÁGUA ,"390,90","390,90",1.0,Garrafa Plástica,"1,00",2007-11-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022627.0,1-PTX-13-RN,ÁGUA,"353,20","353,20",1.0,Garrafa Plástica,"1,30",2007-11-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100022627.0,1-PTX-13-RN,ÁGUA,"361,00","362,00",1.0,Garrafa Plástica,"1,50",2007-11-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023545.0,1-PTX-14-RN,ÁGUA,"318,30","318,30",1.0,Garrafa Plástica,"2,00",2008-12-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023545.0,1-PTX-14-RN,ÁGUA,"349,70","349,70",1.0,Garrafa Plástica,"2,00",2008-12-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023545.0,1-PTX-14-RN,ÁGUA,"316,20","316,20",1.0,Garrafa Plástica,"2,00",2008-12-22,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023565.0,1-PTX-15-RN,ÁGUA,"358,50","358,50",1.0,Garrafa Plástica,"0,85",2008-12-30,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023565.0,1-PTX-15-RN,ÁGUA,"347,00","347,00",1.0,Garrafa Plástica,"2,00",2008-12-30,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023565.0,1-PTX-15-RN,ÁGUA,"316,30","316,30",1.0,Garrafa Plástica,"0,70",2008-12-30,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023565.0,1-PTX-15-RN,ÁGUA,"318,20","318,20",1.0,Garrafa Plástica,"0,50",2008-12-30,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023571.0,3-PTX-16-RN,ÁGUA,"306,70","306,70",1.0,Garrafa Plástica,"2,00",2009-01-07,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023571.0,3-PTX-16-RN,ÁGUA,"319,00","319,00",1.0,Garrafa Plástica,"2,00",2009-01-07,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023571.0,3-PTX-16-RN,ÁGUA,"349,50","349,50",1.0,Garrafa Plástica,"2,00",2009-01-07,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023571.0,3-PTX-16-RN,ÁGUA,"306,80","306,80",1.0,Garrafa Plástica,"2,00",2009-01-07,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023642.0,1-PTX-17-RN,ÁGUA,"348,00","348,00",1.0,Garrafa Plástica,"0,50",2009-01-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023642.0,1-PTX-17-RN,ÁGUA,"371,00","371,00",1.0,Garrafa Plástica,"2,00",2009-01-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023642.0,1-PTX-17-RN,ÁGUA,"347,80","347,80",1.0,Garrafa Plástica,"1,00",2009-01-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023642.0,1-PTX-17-RN,ÁGUA,"363,00","372,00",1.0,Garrafa Plástica,"2,00",2009-01-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023667.0,3-PTX-18-RN,ÁGUA,"362,00","362,00",1.0,Garrafa Plástica,"2,00",2009-02-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023667.0,3-PTX-18-RN,ÁGUA,"479,20","479,20",1.0,Garrafa Plástica,"2,00",2009-02-04,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"484,00","488,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"487,00","487,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"489,00","489,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"498,00","498,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"372,90","372,90",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"449,40","449,40",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"493,00","493,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"496,80","497,80",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"497,00","499,00",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÁGUA,"501,50","501,50",1.0,Garrafa Plástica,"2,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"458,00","459,00",1.0,Garrafa Plástica,"1,50",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023692.0,1-PTX-19-RN,ÓLEO,"484,00","485,50",1.0,Garrafa Plástica,"1,00",2009-02-15,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023718.0,3-PTX-20-RN,ÁGUA,"313,00","313,00",1.0,Garrafa Plástica,"0,50",2009-02-26,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023718.0,3-PTX-20-RN,ÁGUA,"318,00","318,00",1.0,Garrafa Plástica,"2,00",2009-02-26,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023718.0,3-PTX-20-RN,ÁGUA,"333,00","333,00",1.0,Garrafa Plástica,"0,50",2009-02-26,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023718.0,3-PTX-20-RN,ÁGUA,"347,80","347,80",1.0,Garrafa Plástica,"2,00",2009-02-26,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023773.0,3-PTX-21-RN,ÓLEO,"332,80","332,80",1.0,Garrafa Plástica,"0,50",2009-03-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023773.0,3-PTX-21-RN,ÁGUA,"332,00","335,00",1.0,Garrafa Plástica,"2,00",2009-03-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023773.0,3-PTX-21-RN,ÓLEO,"315,80","315,80",1.0,Garrafa Plástica,"2,00",2009-03-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023773.0,3-PTX-21-RN,ÁGUA,"346,50","347,50",1.0,Garrafa Plástica,"2,00",2009-03-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023773.0,3-PTX-21-RN,ÁGUA,"314,80","318,00",1.0,Garrafa Plástica,"0,50",2009-03-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"358,00","360,00",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"441,80","441,80",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"447,20","447,20",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"473,50","473,50",1.0,Garrafa Plástica,"1,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"479,00","481,00",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"473,00","475,00",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"479,60","479,60",1.0,Garrafa Plástica,"1,50",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"441,00","442,50",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"359,20","359,20",1.0,Garrafa Plástica,"1,50",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÁGUA,"405,50","405,50",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÁGUA,"405,00","407,00",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÁGUA,"416,00","418,00",1.0,Garrafa Plástica,"2,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100023806.0,3-PTX-22-RN,ÓLEO,"446,00","448,00",1.0,Garrafa Plástica,"3,00",2009-04-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025020.0,1-PTX-23-RN,ÁGUA,"340,80","340,80",1.0,Garrafa Plástica,"2,00",2010-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025020.0,1-PTX-23-RN,ÁGUA,"342,20","342,20",1.0,Garrafa Plástica,"2,00",2010-09-12,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025695.0,1-PTX-24-RN,ÁGUA,"330,00","330,00",1.0,Garrafa Plástica,"0,50",2011-08-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025695.0,1-PTX-24-RN,ÁGUA,"526,00","526,00",1.0,Garrafa Plástica,"2,00",2011-08-28,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025717.0,1-PTX-25-RN,ÁGUA,"303,20","303,20",1.0,Garrafa Plástica,"2,00",2011-09-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025011.0,7-CLB-1-RN,ÓLEO,"333,20","333,20",1.0,Garrafa Plástica,"2,00",2010-08-31,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025011.0,7-CLB-1-RN,ÁGUA,"319,80","319,80",1.0,Garrafa Plástica,"2,00",2010-08-31,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025011.0,7-CLB-1-RN,ÓLEO,"313,50","313,50",1.0,Garrafa Plástica,"2,00",2010-08-31,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025011.0,7-CLB-1-RN,ÓLEO,"313,00","315,00",1.0,Garrafa Plástica,"1,50",2010-08-31,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025011.0,7-CLB-1-RN,ÓLEO,"332,00","333,50",1.0,Garrafa Plástica,"2,00",2010-08-31,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025691.0,7-CLB-2-RN,ÁGUA,"336,50","336,50",1.0,Garrafa Plástica,"2,00",2011-08-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025691.0,7-CLB-2-RN,ÓLEO,"306,50","306,50",1.0,Garrafa Plástica,"2,00",2011-08-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025691.0,7-CLB-2-RN,ÓLEO,"316,60","316,60",1.0,Garrafa Plástica,"2,00",2011-08-18,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÁGUA,"445,00","448,00",1.0,Garrafa Plástica,"0,50",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÁGUA,"473,00","474,00",1.0,Garrafa Plástica,"2,00",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÓLEO,"473,50","475,00",1.0,Garrafa Plástica,"2,00",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÓLEO,"478,00","480,50",1.0,Garrafa Plástica,"2,00",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÁGUA,"478,00","479,00",1.0,Garrafa Plástica,"2,00",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024961.0,7-CLD-1-RN,ÁGUA,"450,00","450,00",1.0,Garrafa Plástica,"2,00",2010-08-17,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"443,00","446,00",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"445,50","445,50",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"450,00","452,00",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"454,50","454,50",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"453,00","455,00",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"475,50","477,00",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"479,50","479,50",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÁGUA,"491,00","491,00",1.0,Garrafa Plástica,"1,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÓLEO,"481,50","481,50",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100024996.0,7-CLD-2-RN,ÁGUA,"476,00","479,50",1.0,Garrafa Plástica,"2,00",2010-08-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"422,50","422,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"478,50","478,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÓLEO,"472,50","472,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÓLEO,"471,50","472,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"440,50","440,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"477,90","478,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"471,50","478,00",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA ,"471,50","478,50",1.0,Garrafa Plástica,"1,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÓLEO,"437,50","438,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÁGUA,"444,00","445,00",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025643.0,7-CLD-3-RN,ÓLEO,"477,00","478,50",1.0,Garrafa Plástica,"2,00",2011-07-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"450,30","450,30",1.0,Garrafa Plástica,"2,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"457,20","457,20",1.0,Garrafa Plástica,"2,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"474,50","477,00",1.0,Garrafa Plástica,"2,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"480,00","480,00",1.0,Garrafa Plástica,"2,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÁGUA,"364,30","364,30",1.0,Garrafa Plástica,"2,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"443,50","445,50",1.0,Garrafa Plástica,"1,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÓLEO,"449,50","451,00",1.0,Garrafa Plástica,"1,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025663.0,7-CLD-4-RN,ÁGUA,"474,50","475,50",1.0,Garrafa Plástica,"1,00",2011-08-05,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÓLEO,"448,00","449,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÁGUA,"477,50","477,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÓLEO,"482,50","484,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÁGUA,"483,50","483,50",1.0,Garrafa Plástica,"1,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÁGUA,"486,00","486,00",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÁGUA,"456,50","456,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÓLEO,"419,50","419,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100025679.0,7-CLD-5-RN,ÓLEO,"426,50","426,50",1.0,Garrafa Plástica,"2,00",2011-08-11,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026662.0,7-CLD-6-RN,ÁGUA,"406,00","406,00",1.0,Garrafa Plástica,"2,00",2012-10-29,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026660.0,7-CLD-7-RN,ÓLEO,"450,80","452,00",1.0,Garrafa Plástica,"2,00",2012-11-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026660.0,7-CLD-7-RN,ÓLEO,"476,00","477,00",1.0,Garrafa Plástica,"2,00",2012-11-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026660.0,7-CLD-7-RN,ÓLEO,"451,50","451,50",1.0,Garrafa Plástica,"2,00",2012-11-21,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÁGUA ,"366,00","366,00",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"413,40","413,40",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"451,60","451,60",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"447,00","449,00",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"478,00","479,00",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"478,80","478,80",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
POTIGUAR,72100026661.0,7-CLD-8-RN,ÓLEO ,"481,20","481,20",1.0,Garrafa Plástica,"2,00",2012-11-24,MOSSORÓ/RN,MANDACARU
