bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
CAMPOS MAR,742810285100.0,7-RO-40-RJS,ÓLEO,"3.290,50","3.295,00",2.0,Garrafa Vidro Âmbar,1,2003-07-17,CATU/BA,PETROBRAS
CAMPOS MAR,742810292100.0,7-RO-42HPB-RJS,ÓLEO,"3.672,00","4.665,00",2.0,Garrafa Vidro Âmbar,1,2004-03-16,CATU/BA,PETROBRAS
CAMPOS MAR,742810298500.0,7-RO-26H-RJS,ÓLEO,"3.421,00","4.136,00",2.0,Garrafa Vidro Âmbar,1,2006-03-15,CATU/BA,PETROBRAS
CAMPOS MAR,742810305300.0,7-RO-50HPA-RJS,ÓLEO,"3.285,00","4.300,00",2.0,Garrafa Vidro Âmbar,1,2005-02-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810308700.0,7-RO-60HP-RJS,ÓLEO,"3.206,00","4.231,00",2.0,Garrafa Vidro Âmbar,1,2006-12-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810310200.0,7-RO-62HP-RJS,ÓLEO,"3.118,00","4.335,00",2.0,Garrafa Vidro Âmbar,1,2005-09-13,CATU/BA,PETROBRAS
CAMPOS MAR,742810317400.0,7-RO-63HA-RJS,ÓLEO,"3.165,00","4.213,00",2.0,Garrafa Vidro Âmbar,1,2006-04-20,CATU/BA,PETROBRAS
CAMPOS MAR,742810323600.0,7-RO-46HP-RJS,ÓLEO,"3.202,00","4.240,70",2.0,Garrafa Vidro Âmbar,1,2007-04-24,CATU/BA,PETROBRAS
CAMPOS MAR,742810324300.0,7-RO-66D-RJS,ÓLEO,"3.399,00","3.424,00",2.0,Garrafa Vidro Âmbar,1,2007-03-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810325300.0,7-RO-74HP-RJS,ÓLEO,"3.265,00","4.132,00",2.0,Garrafa Vidro Âmbar,1,2007-08-18,CATU/BA,PETROBRAS
