;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Identificador da caixa;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária;;
CAMPOS;74281026993;7-PPT-37HP-RJS;8;24;3309;3375;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;9;24;3375;3450;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;10;24;3450;3510;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;11;24;3510;3570;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;12;24;3570;3630;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;13;24;3630;3690;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;14;24;3690;3750;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;15;24;3750;3810;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;16;24;3810;3870;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;17;24;3870;3930;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;18;24;3930;3990;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;19;24;3990;4050;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;20;24;4050;4110;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;21;24;4110;4170;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;22;24;4170;4230;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;23;24;4230;4290;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026993;7-PPT-37HP-RJS;24;24;4290;4308;16/12/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;1;15;2205;2421;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;2;15;2421;2628;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;3;15;2628;2889;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;4;15;2889;3012;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;5;15;3012;3090;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;6;15;3090;3168;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;7;15;3168;3243;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;8;15;3243;3318;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;9;15;3318;3393;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;10;15;3393;3471;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;11;15;3471;3549;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;12;15;3549;3627;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;13;15;3627;3705;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;14;15;3705;3783;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027106;9-PPT-38D-RJS;15;15;3783;3840;11/07/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;1;15;3417;3474;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;2;15;3474;3534;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;3;15;3534;3594;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;4;15;3594;3654;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;5;15;3654;3714;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;6;15;3714;3774;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;7;15;3774;3834;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;8;15;3834;3894;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;9;15;3894;3954;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;10;15;3954;4014;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;11;15;4014;4074;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;12;15;4074;4134;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;13;15;4134;4194;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;14;15;4194;4254;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027258;9-PPT-43DP-RJS;15;15;4254;4302;03/10/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;1;21;1611;1818;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;2;21;1818;2034;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;3;21;2034;2250;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;4;21;2250;2430;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;5;21;2430;2628;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;6;21;2628;2703;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;7;21;2703;2754;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;8;21;2754;2805;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;9;21;2805;2862;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;10;21;2862;2922;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;11;21;2922;2982;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;12;21;2982;3039;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;13;21;3039;3093;14/08/1998;RIO DE JANEIRO/RJ;3R;;
