;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
RECÔNCAVO;20240038590;7-AG-320-BA;1;13;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;14;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;15;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;16;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240038590;7-AG-320-BA;1;17;-;1;1;29/04/1983;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240032140;7-AG-292-BA;1;1634;H;1;1;25/12/1978;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240032140;7-AG-292-BA;1;-;-;1;1;25/12/1978;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240032140;7-AG-292-BA;1;-;-;1;1;25/12/1978;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240032140;7-AG-292-BA;1;-;-;1;1;25/12/1978;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240032140;7-AG-292-BA;1;-;-;1;1;25/12/1978;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240006470;4-PL-2-BA;1;-;-;2;1;24/10/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240006470;4-PL-2-BA;1;-;-;2;1;24/10/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400324700;8-AG-294-BA;1;-;-;1;1;19/04/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400324700;8-AG-294-BA;1;-;-;1;1;19/04/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400324700;8-AG-294-BA;1;-;-;1;1;19/04/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400051200;7-AG-33-BA;1;1329;-;1;1;27/12/1956;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400063400;7-AG-60-BA;1;1297;V;1;1;03/08/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400063400;7-AG-60-BA;1;1297;H;1;1;03/08/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400063400;7-AG-60-BA;1;1321;H;1;1;03/08/1958;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400097700;7-AG-144-BA;1;-;-;1;1;13/09/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400093300;7-AG-133-BA;1;-;-;1;1;31/05/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400093300;7-AG-133-BA;1;-;-;1;1;31/05/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400093300;7-AG-133-BA;1;-;-;1;1;31/05/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400093300;7-AG-133-BA;1;-;-;1;1;31/05/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400093300;7-AG-133-BA;1;-;-;1;1;31/05/1960;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;-; V;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;-; V;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
