;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária
CAMPOS;74281028491;9-PPT-42DP-RJS;3;3;4541.6;4541.85;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;2;4546.3;4547.2;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;2;4547.2;4548.05;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;3;3054.0;3054.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;3;3054.9;3055.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;3;3055.8;3056.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;7;3056.4;3057.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;7;3057.3;3058.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;7;3058.2;3059.1;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;7;3059.1;3060.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;7;3060.0;3060.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;7;3060.9;3061.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;7;3061.3;3062.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;4;3067.5;3068.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;4;3068.4;3069.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;4;3069.3;3070.25;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;4;3070.25;3070.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;9;3077.0;3077.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;9;3077.9;3078.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;9;3078.8;3079.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;9;3079.7;3080.6;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;9;3080.6;3081.5;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;9;3081.5;3082.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;9;3082.4;3083.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;8;9;3083.3;3084.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;9;9;3084.2;3084.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;14;3086.0;3086.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;14;3086.9;3087.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;14;3087.8;3088.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;14;3088.7;3089.6;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;14;3089.6;3090.5;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;14;3090.5;3091.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;14;3091.4;3092.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;8;14;3092.3;3093.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;9;14;3093.2;3094.1;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;10;14;3094.1;3095.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;11;14;3095.0;3095.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;12;14;3095.9;3096.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;13;14;3096.8;3097.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;14;14;3097.7;3098.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;1;28;3541.0;3541.9;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;2;28;3541.9;3542.8;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;3;28;3542.8;3543.7;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;4;28;3543.7;3544.6;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;5;28;3544.6;3545.5;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;6;28;3545.5;3546.4;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;7;28;3546.4;3547.3;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;8;28;3547.3;3548.2;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;9;28;3548.2;3549.1;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;10;28;3549.1;3550.0;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;11;28;3550.0;3550.9;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;12;28;3550.9;3551.8;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;13;28;3551.8;3552.5;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;14;28;3552.5;3553.4;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;15;28;3553.4;3554.3;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;16;28;3554.3;3555.2;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;17;28;3555.2;3556.1;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;18;28;3556.1;3557.0;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;19;28;3557.0;3557.9;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;20;28;3557.9;3558.5;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;21;28;3558.5;3559.4;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;22;28;3559.4;3560.3;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;23;28;3560.3;3561.2;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;24;28;3561.2;3562.1;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;25;28;3562.1;3563.0;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;26;28;3563.0;3563.9;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;27;28;3563.9;3564.5;27/08/2014;RIO DE JANEIRO/RJ;3R
CAMPOS;74281027622;9-PPT-44D-RJS;28;28;3564.5;3565.1;27/08/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240003310;1-PC-1-BA;Testemunho 6;3;;;16/07/1953;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240003310;1-PC-1-BA;Testemunho 7;2;;;16/07/1953;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000263800;7-FZB-438-CE;16;23;No id;No id;20/03/1987;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000263800;7-FZB-438-CE;17;23;No id;No id;20/03/1987;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000263800;7-FZB-438-CE;23;23;No id;No id;20/03/1987;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO TERRA;342700288900;1-LP-1-ES;1;1;1272;1273;06/09/1975;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700288900;1-LP-1-ES;2;1;1560;1566;06/09/1975;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700288900;1-LP-1-ES;3;2;1566;1572;06/09/1975;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700288900;1-LP-1-ES;4;2;2135;2137;06/09/1975;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700015800;1-LP-2-ES;2;2;2242;2245;26/02/1978;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700071600;1-LPN-1-ES;1;4;1393;1397;06/06/1982;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700056500;3-LP-22-ES;1;14;1672;1686;26/08/1981;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700030700;3-LP-3-ES;2;19;1485;1503;28/04/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700032500;3-LP-4-ES;1;1;1537;1538;13/06/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700032500;3-LP-4-ES;2;18;1538;1556;13/06/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700032500;3-LP-4-ES;3;4;1814;1818;13/06/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700117200;3-LPB-4-ES;1;19;1339;1357;23/12/1984;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;4;6;1476;1482;16/12/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;5;16;1482;1500;16/12/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;6;18;1500;1518;16/12/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;7;18;1518;1536;16/12/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;8;13;1543;1558;16/12/1980;LINHARES/ES;CAPIXABA
ESPÍRITO SANTO TERRA;342700046200;7-LP-10-ES;9;10;1558;1570;16/12/1980;LINHARES/ES;CAPIXABA
