Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
RECÔNCAVO TERRA;202400703900;1-BRSA-1351D-BA;AGUA SALGADA;3.035,90;3.035,90;1;Garrafa Vidro Âmbar;1;22/03/2019;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400707000;1-BRSA-1366D-BA;AGUA DOCE;0,00;1.192,20;2;Garrafa Vidro Âmbar;1;25/01/2019;CATU/BA;PETROBRAS
SANTOS;743160052300;1-OGX-94DA-RJS;ÓLEO;0,00;0,00;2;Garrafa Vidro Âmbar;1;02/01/2013;CATU/BA;PETROBRAS
SANTOS;863160029700;1-OGX-11D-SPS;ÓLEO;0,00;0,00;2;Garrafa Vidro Âmbar;1;10/08/2010;CATU/BA;PETROBRAS
SANTOS;863160051600;1-OGX-47-SPS;ÓLEO;0,00;0,00;4;Garrafa Vidro Âmbar;1;08/09/2011;CATU/BA;PETROBRAS
SANTOS;863160051600;1-OGX-47-SPS;CONDENSADO;0,00;0,00;4;Garrafa Vidro Âmbar;1;08/09/2011;CATU/BA;PETROBRAS
SANTOS;863160051800;1-OGX-63A-SPS;NAO IDENTIFICADO;0,00;0,00;2;Garrafa Vidro Âmbar;1;05/02/2012;CATU/BA;PETROBRAS
SERGIPE TERRA;901200444200;1-BRSA-471-SE;AGUA CORTADA POR OLEO;651,00;659,00;2;Garrafa Vidro Âmbar;1;29/12/2006;CATU/BA;PETROBRAS
SOLIMÕES;140200080800;1-BRSA-769-AM;ÁGUA;3.089,00;3.091,60;1;Garrafa Vidro Âmbar;1;22/03/2010;CATU/BA;PETROBRAS
SOLIMÕES;140200080800;1-BRSA-769-AM;CONDENSADO;3.089,00;3.091,60;2;Garrafa Vidro Âmbar;1;22/03/2010;CATU/BA;PETROBRAS
SOLIMÕES;140200080800;1-BRSA-769-AM;ÓLEO;3.172,80;3.174,50;8;Garrafa Vidro Âmbar;1;22/03/2010;CATU/BA;PETROBRAS
SOLIMÕES;140200084100;1-BRSA-961-AM;ÓLEO;2.988,00;2.992,00;2;Garrafa Vidro Âmbar;1;15/12/2011;CATU/BA;PETROBRAS
SOLIMÕES;140200084100;1-BRSA-961-AM;ÓLEO;3.046,00;3.049,00;1;Garrafa Vidro Âmbar;1;15/12/2011;CATU/BA;PETROBRAS
SOLIMÕES;140200084100;1-BRSA-961-AM;PETRÓLEO;3.046,00;3.049,00;1;Garrafa Vidro Âmbar;1;15/12/2011;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150430100;1-BRSA-344-AL;ÁGUA;1.285,00;1.295,00;8;Garrafa Vidro Âmbar;1;13/06/2005;CATU/BA;PETROBRAS
ALAGOAS TERRA;081150430100;1-BRSA-344-AL;ÁGUA;1.363,00;1.367,00;1;Garrafa Vidro Âmbar;1;13/06/2005;CATU/BA;PETROBRAS
CAMPOS MAR;742810218400;1-RJS-512HA;ÓLEO;1.957,00;1.960,00;2;Garrafa Vidro Âmbar;1;20/09/1996;CATU/BA;PETROBRAS
CAMPOS MAR;742810270400;1-BRSA-155-RJS;ÓLEO;5.821,00;5.831,00;2;Garrafa Vidro Âmbar;1;18/11/2002;CATU/BA;PETROBRAS
CAMPOS MAR;742810282800;1-BRSA-213-RJS;ÓLEO;3.990,50;3.990,50;2;Garrafa Vidro Âmbar;1;25/06/2003;CATU/BA;PETROBRAS
